placa;fecha;filtro_aceite;filtro_aire;filtro_diesel;engrase;este_cambio;proximo_cambio;observaciones
P030LCL;2/10/2025;SI;SI;NO;SI;8,402;13,402;C/F CABINA, LAVADO DE MOTOR
P677KPB;2/10/2025;SI;SI;SI;SI;29,435;34,435;C/F CABINA
P106GQQ;2/10/2025;NO;NO;NO;NO;NO;NO;C/MULETAS SUPERIORES DELANTERAS, C/ESTABILIZ TRASERAS
P295HVY;2/10/2025;SI;NO;NO;NO;168,183;171,183;C/F CABINA, C/CREMALLERA DE DIRECCION
P016JGZ;3/10/2025;SI;SI;NO;NO;51,428;54,428;
C603BYG;3/10/2025;SI;NO;NO;SI;54,983;59,983;MANTENIMIENTO FRENOS DELANTEROS, AJUSTE COJINETES DELANTEROS
P869LDN;3/10/2025;NO;NO;NO;NO;NO;NO;CAMBIO DE ALZAS DE RESORTE
P349KLX;3/10/2025;NO;NO;NO;NO;NO;NO;FRENOS TRASEROS
P708KSF;4/10/2025;SI;SI;NO;SI;190,133;193,133;C/F CABINA
P509KNX;4/10/2025;NO;NO;NO;NO;195,717;205,717;C/A CAJA AUTOMATICA
P478JBR;4/10/2025;SI;SI;NO;NO;114,518;117,518;C/F CABINA
P347FMN;4/10/2025;SI;SI;SI;NO;189,387;194,387;C/F CABINA, LAVADO DE MOTOR
P917KWD;4/10/2025;SI;SI;NO;NO;193,600;196,300;
P616JCX;4/10/2025;SI;SI;NO;NO;117,201;120,201;C/F CABINA
P776KND;4/10/2025;SI;NO;NO;NO;33,975;38,975;
P455JWF;4/10/2025;NO;NO;NO;NO;NO;NO;DESMONTAJE Y MONTAJE DE INYECTORES
P945KCY;4/10/2025;NO;NO;NO;NO;NO;NO;MANTENIMIENTO CUERPO ACELARACION, LAVADO DE MOTOR
C757BVX;6/10/2025;SI;SI;SI;SI;77,145;82,145;
P127FRW;6/10/2025;SI;NO;NO;NO;181,461;184,461;
P863JGY;6/10/2025;SI;SI;NO;NO;28,068;31,068;C/F CABINA
P052HWL;6/10/2025;NO;NO;NO;NO;NO;NO;C/ PASTILLAS DELANTERAS
P977KCY;6/10/2025;NO;NO;NO;NO;NO;NO;RECTIF DE 4 DISCOS, FRENOS DELANT Y TRASEROS
C603BYG;7/10/2025;NO;NO;NO;NO;NO;NO;LIMPIEZA FILTRO BOMBA DE INYECCIION
P738JWF;7/10/2025;SI;SI;NO;NO;32,418;35,418;C/F CABINA
P005KHB;7/10/2025;SI;SI;NO;SI;79,556;84,556;
P091JFJ;7/10/2025;NO;NO;NO;NO;NO;NO;CAMBIO DE LIQUIDO HIDRAULICO
P620KLW;7/10/2025;SI;NO;NO;SI;116,485;121,485;
P915CVM;7/10/2025;SI;SI;NO;NO;142,011;145,011;MECANICA VARIA ORDEN NO. 13428
P698JXN;8/10/2025;SI;SI;NO;NO;101,073;104,073;
P755JVT;8/10/2025;SI;NO;NO;NO;47,588;52,588;
P146GJL;8/10/2025;SI;SI;NO;NO;184,753;187,753;C/F CABINA
P350HVY;8/10/2025;SI;SI;NO;NO;79,162;84,162;
C783BVC;8/10/2025;SI;SI;NO;SI;72,315;77,315;
P180JGZ;8/10/2025;SI;NO;NO;NO;127,878;130,878;C/A CAJA PROX 137,878
C896BYV;9/10/2025;SI;NO;NO;SI;36,147;41,147;
