placa;fecha;filtro_aceite;filtro_aire;filtro_diesel;engrase;este_cambio;proximo_cambio;observaciones
P142DDN;19/08/2015;SI;SI;NO;SI;191790;194790;SE HIZO LAVADO DE MOTOR
P418FDH;19/08/2015;SI;NO;NO;SI;123837;126837;
P080DTK;19/08/2015;SI;NO;NO;SI;121840;124840;
P869DLG;19/08/2015;SI;NO;NO;SI;194883;196883;
P857BJC;20/08/2015;SI;SI;NO;NO;292633;294633;
P394FQQ;20/08/2015;SI;NO;NO;NO;98608;100608;SE HIZO CAMBIO DE ACEITE A CAJA AUT.
P358FNP;20/08/2015;SI;SI;SI;SI;71083;76083;SE HIZO FLUSHING
P634DTG;20/08/2015;SI;SI;NO;NO;104556;106556;
P324FVC;21/08/2015;SI;NO;NO;NO;106018;108018;SE HIZO LAVADO DE MOTOR
P909FQM;21/08/2015;SI;SI;NO;NO;205682;207682;
P748FWP;21/08/2015;SI;N0;NO;NO;156256;158256;
P104FLW;22/08/2015;SI;SI;NO;NO;55378;57378;
P373FBK;22/08/2015;SI;SI;NO;NO;205252;207252;
P356FNP;22/08/2015;SI;SI;NO;SI;56180;59180;
P125FQG;24/02/2015;SI;NO;NO;NO;77335;79335;SE HIZO CAMBIO DE ACIETE A CAJA AUT.
P125FQG;24/08/2015;SI;NO;NO;NO;79387;81387;
P598DKD;24/08/2015;SI;NO;NO;NO;123251;126251;
P824FRZ;24/08/2015;SI;SI;NO;NO;143000;145000;
P208DVG;24/08/2015;SI;SI;NO;SI;89364;94365;
P068BQG;25/08/2015;SI;SI;SI;SI;183882;188882;SE CAMBIO UNA MANGUERA Y LAV. MOTOR,
P168FDJ;25/08/2015;SI;SI;NO;NO;69272;71272;
P823DZS;26/08/2015;SI;NO;NO;NO;70179;73179;SE HIZO CAMBIO DE ACEITE A CAJA AUT.
P277FXX;26/08/2015;SI;;NO;NI;35197;37197;
P428FBZ;26/08/2015;SI;SI;NO;NO;70604;72604;
P688FKV;27/08/2015;SI;NO;NO;SI;15923;18923;
P409FVJ;27/08/2015;SI;SI;SI;SI;29239;33239;
P115DSL;27/08/2015;SI;SI;NO;NO;73946;75946;
P032CYR;27/08/2015;SI;SI;NO;NO;SOLO FECHA;;
P863DYZ;27/08/2015;SI;SI;NO;SI;116170;119170;
P338FHG;27/08/2015;SI;SI;NO;SI;109193;112193;SE HIZO LAVADO DE MOTOR
P686CYH;26/08/2015;SI;NO;NO;SI;SOLO FECHA;SOLO FECHA;
P261FTH;28/08/2015;SI;NO;NO;SI;30508;33508;SE HIZO LAVADO DE MOTOR.
P765FKW;29/08/2015;SI;NO;NO;SI;114805;119805;
P498FSY;29/08/2015;SI;;NO;NO;140559;143559;
P279DXX;29/08/2015;SI;NO;NO;NO;116603;118603;
P991FRL;29/08/2015;SI;SI;NO;NO;43444;45444;
P972BZD;13/06/2015;SI;SI;NO;SI;116262;119262;
P972BZD;29/08/2015;SI;NO;NO;SI;121320;124320;
P553DGN;29/08/2015;SI;NO;SI;SI;159306;164306;
P895DRP;29/08/2015;SI;NO;NO;SI;162568;165568;
P951FCV;1/09/2015;SI;SI;NO;SI;89050;94050;
P152FDM;18/01/2014;SI;SI;NO;NO;118867;120867;
P152FDM;21/07/2014;SI;NO;NO;NO;121514;123514;
P152FDM;12/02/2015;SI;NO;NO;NO;124740;126740;
P152FDM;1/09/2015;SI;SI;NO;NO;127459;129459;
P455FTY;2/09/2015;SI;NO;NO;NO;333322;335322;
P059FKZ;3/09/2015;SI;NO;NO;NO;217779;220779;SE HIZO CAMBIO DE CANDELAS.
P573FNJ;4/09/2015;SI;SI;NO;NO;52219;54219;SE USO LAVADO INTERNO DE MOTOR.
P015DVS;4/09/2015;SI;NO;NO;SI;137811;140811;
P118FQT;5/09/2015;SI;SI;NO;NO;93392;95392;SE USO UN LAVADO INTERNO DE MOTOR
P950CDS;5/09/2015;SI;NO;SI;SI;294396;297396;
P192FWT;5/09/2015;SI;SI;NO;NO;83499;85499;
P059CXL;8/09/2015;SI;N0;NO;NO;104784;106784;SE CAMBIO ACEITE DE CATARINA 1 LTO.
P514FWV;8/09/2015;SI;SI;NO;NO;162159;164159;SE HIZO LAVADO DE MOTOR.
P740FRW;9/09/2015;SI;NO;NO;NO;75892;77892;
P855DQJ;2/09/2014;SI;SI;NO;NO;156711;158711;
P855DQJ;16/12/2014;SI;NO;NO;NO;158747;160747;
P855DQJ;16/03/2015;SI;NO;NO;NO;160751;162751;
P320FMF;10/09/2015;SI;NO;NO;NO;190498;192498;
P855DQJ;10/09/2015;;;;;161712;171712;SE HIZO CAMBIO DE ACEITE A CAJA AUT.
P692DRQ;11/09/2015;SI;SI;NO;NO;67795;69795;SE HIZO CAMBIO DE ACEITE A CAJA AUT.
P102FNK;14/09/2015;SI;NO;NO;NO;151605;153605;
P869CRQ;14/09/2015;SI;NO;NO;NO;111840;113840;SE HIZO LAVADO DE MOTOR
P274FPL;16/09/2015;SI;NO;NO;NO;75503;77503;SE HIZO LAVADO DE MOTOR.
P787CYK;8/08/2014;SI;NO;SI;SI;80650;83650;
P787CYK;9/03/2015;SI;SI;NO;SI;84141;87141;
P787CYK;16/09/2015;SI;NO;NO;SI;88118;91118;
P133DVG;17/09/2015;SI;NO;NO;NO;111741;113741;
P473FXZ;17/09/2015;SI;NO;NO;NO;121542;123542;
P256FGV;17/09/2015;SI;SI;NO;NO;86256;88256;SE HIZO CAMBIO DE ACEITE A CAJA MEC.
P920DZS;17/09/2015;SI;SI;NO;SI;183522;188522;SE HIZO LAVADO DE MOTOR.
P770FPX;19/09/2015;SI;NO;NO;NO;106190;108190;
P851FFN;19/09/2015;SI;SI;NO;NO;84855;87855;
P493DHL;22/09/2015;SI;SI;NO;SI;170885;175885;
PBK5748;22/09/2015;SI;NO;NO;NO;297978;300978;
P117FMH;22/09/2015;SI;NO;NO;NO;25139;28139;
P117FMH;22/04/2016;SI;NO;SI;NO;32700;35700;
P794;22/09/2015;SI;SI;NO;SI;133192;136192;SE LE HIZO FLISHING Y CAMBIO DE PLUMILLAS
P523FJC;23/09/2015;SI;NO;NO;NO;142752;144752;
P176FBG;23/09/2015;SI;SI;NO;SI;162410;164410;
P076BNS;23/09/2015;SI;SI;NO;SI;168111;171111;
P628BRD;24/09/2015;SI;SI;NO;SI;235696;238696;
P414FWF;24/09/2015;si;no;;;121303;123303;
P464FLF;;;;;;;;
P464FLF;24/09/2015;SI;SI;NO;NO;199994;201994;
